"Row ID","Series","Episode","Combined episode","Episode name","Start","End","Scene ID","Who","Cooper As","Where","Episode Length","Total length","Corrected start","Corrected end","Circumstances"
"id013","1","2","S01E02","Traces to Nowhere","0:25:30","0:27:32","id011","FBI Special Agent Dale Cooper","","Martell residency","0:45:47","2:15:53","1:55:36","1:57:38","Cooper and Harry interrogating Josie at her home, and Pete Martell serves them coffee. It turns out there was a fish in the percolator."
"id014","1","2","S01E02","Traces to Nowhere","0:25:30","0:27:32","id011","Sheriff Harry Truman","","Martell residency","0:45:47","2:15:53","1:55:36","1:57:38","Cooper and Harry interrogating Josie at her home, and Pete Martell serves them coffee. It turns out there was a fish in the percolator."
"id015","1","2","S01E02","Traces to Nowhere","0:36:30","0:40:28","id012","FBI Special Agent Dale Cooper","","RR","0:45:47","2:15:53","2:06:36","2:10:34","Cooper and Harry asks some questions from Norma about Laura's job at the Meal's on Wheels program. This is also the first time Cooper eats the famous RR cherry pie."
"id016","1","2","S01E02","Traces to Nowhere","0:36:30","0:40:28","id012","Sheriff Harry Truman","","RR","0:45:47","2:15:53","2:06:36","2:10:34","Cooper and Harry asks some questions from Norma about Laura's job at the Meal's on Wheels program. This is also the first time Cooper eats the famous RR cherry pie."
"id017","1","2","S01E02","Traces to Nowhere","0:39:01","0:39:11","id013","Log Lady","","RR","0:45:47","2:15:53","2:09:07","2:09:17","The Log Lady tells Cooper and Harry, that one day her log will have something to say about Laura Palmer's death."
"id018","1","3","S01E03","Zen, or the Skill to Catch a Killer","0:18:21","0:18:28","id014","FBI Special Agent Dale Cooper","","Forest","0:46:37","3:02:30","2:34:14","2:34:21","Cooper and the shreiff's department head over to the forest to rule out some suspects."
"id019","1","3","S01E03","Zen, or the Skill to Catch a Killer","0:20:36","0:21:09","id015","Big Ed Hurley","","RR","0:46:37","3:02:30","2:36:29","2:37:02","Ed and Norma flirt at the RR."
"id020","1","3","S01E03","Zen, or the Skill to Catch a Killer","0:21:16","0:21:35","id016","FBI Special Agent Dale Cooper","","Forest","0:46:37","3:02:30","2:37:09","2:37:28","Cooper and the shreiff's department head over to the forest to rule out some suspects."
"id021","1","3","S01E03","Zen, or the Skill to Catch a Killer","0:21:16","0:26:51","id016","Sheriff Harry Truman","","Forest","0:46:37","3:02:30","2:37:09","2:42:44","Cooper and the shreiff's department head over to the forest to rule out some suspects."
"id022","1","3","S01E03","Zen, or the Skill to Catch a Killer","0:21:16","0:21:35","id016","Deputy Hawk","","Forest","0:46:37","3:02:30","2:37:09","2:37:28","Cooper and the shreiff's department head over to the forest to rule out some suspects."
"id023","1","3","S01E03","Zen, or the Skill to Catch a Killer","0:21:16","0:23:22","id016","Deputy Andy Brennan","","Forest","0:46:37","3:02:30","2:37:09","2:39:15","Cooper and the shreiff's department head over to the forest to rule out some suspects."
"id024","1","3","S01E03","Zen, or the Skill to Catch a Killer","0:21:16","0:23:26","id016","Lucy Moran","","Forest","0:46:37","3:02:30","2:37:09","2:39:19","Cooper and the shreiff's department head over to the forest to rule out some suspects."
"id025","1","3","S01E03","Zen, or the Skill to Catch a Killer","0:27:07","0:28:08","id017","Dr. Will Hayward","","RR","0:46:37","3:02:30","2:43:00","2:44:01","The Hayward family having breakfast at the RR after church."
"id026","1","3","S01E03","Zen, or the Skill to Catch a Killer","0:27:07","0:28:08","id017","Eileen Hayward","","RR","0:46:37","3:02:30","2:43:00","2:44:01","The Hayward family having breakfast at the RR after church."
"id027","1","3","S01E03","Zen, or the Skill to Catch a Killer","0:27:44","0:30:11","id018","Audrey Horne","","RR","0:46:37","3:02:30","2:43:37","2:46:04","Donna and Audrey talk about Laura's death at the RR, Audrey performs her famous ""Audrey's dance""."
"id028","1","4","S01E04","Rest in Pain","0:03:59","0:05:43","id019","Audrey Horne","","Great Northern","0:45:47","3:48:17","3:06:29","3:08:13","Cooper and Audrey have a breakfast together and Cooper finds out Audrey slipped the note about One Eyed Jacks under his door."
"id029","1","4","S01E04","Rest in Pain","0:03:59","0:08:14","id019","FBI Special Agent Dale Cooper","","Great Northern","0:45:47","3:48:17","3:06:29","3:10:44","Cooper and Audrey have a breakfast together and Cooper finds out Audrey slipped the note about One Eyed Jacks under his door."
"id030","1","4","S01E04","Rest in Pain","0:05:49","0:08:14","id019","Lucy Moran","","Great Northern","0:45:47","3:48:17","3:08:19","3:10:44","Cooper tells about his dream to Harry and Lucy."
"id031","1","4","S01E04","Rest in Pain","0:05:49","0:08:14","id019","Sheriff Harry Truman","","Great Northern","0:45:47","3:48:17","3:08:19","3:10:44","Cooper tells about his dream to Harry and Lucy."
"id032","1","4","S01E04","Rest in Pain","0:31:00","0:33:58","id020","Deputy Hawk","","RR","0:45:47","3:48:17","3:33:30","3:36:28","The Bookhouse Boys tell Cooper that someone sneask drugs into Twin Peaks from across the border and they're suspecting Jacques Renault."
"id033","1","4","S01E04","Rest in Pain","0:31:00","0:33:58","id020","Sheriff Harry Truman","","RR","0:45:47","3:48:17","3:33:30","3:36:28","The Bookhouse Boys tell Cooper that someone sneask drugs into Twin Peaks from across the border and they're suspecting Jacques Renault."
"id034","1","4","S01E04","Rest in Pain","0:31:00","0:33:58","id020","Big Ed Hurley","","RR","0:45:47","3:48:17","3:33:30","3:36:28","The Bookhouse Boys tell Cooper that someone sneask drugs into Twin Peaks from across the border and they're suspecting Jacques Renault."
"id035","1","4","S01E04","Rest in Pain","0:31:13","0:33:58","id020","FBI Special Agent Dale Cooper","","RR","0:45:47","3:48:17","3:33:43","3:36:28","The Bookhouse Boys tell Cooper that someone sneask drugs into Twin Peaks from across the border and they're suspecting Jacques Renault."
"id036","1","5","S01E05","The One-Armed Man","0:02:58","0:03:55","id021","Sheriff Harry Truman","","Palmer residency","0:45:50","4:34:07","3:51:15","3:52:12","Andy sketching a picture of Bob based on Sarah's memories."
"id037","1","5","S01E05","The One-Armed Man","0:03:10","0:03:55","id021","Dr. Will Hayward","","Palmer residency","0:45:50","4:34:07","3:51:27","3:52:12","Andy sketching a picture of Bob based on Sarah's memories."
"id038","1","5","S01E05","The One-Armed Man","0:05:18","0:10:05","id022","FBI Special Agent Dale Cooper","","Twin Peaks Police Station","0:45:50","4:34:07","3:53:35","3:58:22","Cooper interrogating Dr. Jacoby about Laura Palmer's death."
"id039","1","5","S01E05","The One-Armed Man","0:36:43","0:37:37","id023","FBI Special Agent Dale Cooper","","Twin Peaks Police Station","0:45:50","4:34:07","4:25:00","4:25:54","Andy, Harry, and Cooper are going through the list of pet owners in Twin Peaks."
"id040","1","5","S01E05","The One-Armed Man","0:36:43","0:37:37","id023","Deputy Andy Brennan","","Twin Peaks Police Station","0:45:50","4:34:07","4:25:00","4:25:54","Andy, Harry, and Cooper are going through the list of pet owners in Twin Peaks."
"id041","1","5","S01E05","The One-Armed Man","0:36:43","0:37:37","id023","Sheriff Harry Truman","","Twin Peaks Police Station","0:45:50","4:34:07","4:25:00","4:25:54","Andy, Harry, and Cooper are going through the list of pet owners in Twin Peaks."
"id042","1","6","S01E06","Cooper's Dreams","0:03:42","0:04:53","id024","FBI Special Agent Dale Cooper","","Great Northern","0:45:18","5:19:25","4:37:49","4:39:00","Agent Cooper having a coffee for breakfast at the Great Northern, complaining about the Icelandic group that is staying on his floor and partied all night."
"id043","1","6","S01E06","Cooper's Dreams","0:08:06","0:08:14","id025","FBI Special Agent Dale Cooper","","Jacques Renauld's apartment","0:45:18","5:19:25","4:42:13","4:42:21","Andy brings a coffee and a donut to Agent Cooper at a crime scene."
"id044","1","6","S01E06","Cooper's Dreams","0:19:55","0:21:43","id026","Donna Hayward","","RR","0:45:18","5:19:25","4:54:02","4:55:50","Donna and James meeting Maddy at the RR asking for her help to find out more about Laura's murder."
"id045","1","6","S01E06","Cooper's Dreams","0:19:55","0:21:38","id026","James Hurley","","RR","0:45:18","5:19:25","4:54:02","4:55:45","Donna and James meeting Maddy at the RR asking for her help to find out more about Laura's murder."
"id046","1","6","S01E06","Cooper's Dreams","0:21:43","0:22:51","id027","Hank Jennings","","RR","0:45:18","5:19:25","4:55:50","4:56:58","Hank drinking coffee at the RR waiting for Norma to arrive."
"id047","1","7","S01E07","Realization Time","0:18:56","0:19:26","id028","Sheriff Harry Truman","","RR","0:45:48","6:05:13","5:38:21","5:38:51","This is the scene where Cooper tells Harry ""every day once a day give yourself a present""."
"id048","1","7","S01E07","Realization Time","0:18:56","0:19:26","id028","FBI Special Agent Dale Cooper","","RR","0:45:48","6:05:13","5:38:21","5:38:51","This is the scene where Cooper tells Harry ""every day once a day give yourself a present""."
"id049","1","7","S01E07","Realization Time","0:24:09","0:25:47","id029","Sheriff Harry Truman","","Great Northern","0:45:48","6:05:13","5:43:34","5:45:12","Harry, Cooper, and Big Ed are off to visit the One Eyed Jacks."
"id050","1","7","S01E07","Realization Time","0:24:09","0:24:53","id029","Big Ed Hurley","","Great Northern","0:45:48","6:05:13","5:43:34","5:44:18","Harry, Cooper, and Big Ed are off to visit the One Eyed Jacks."
"id051","1","8","S01E08","The Last Evening","0:13:53","0:14:31","id030","Sheriff Harry Truman","","Police Car","0:45:58","6:51:11","6:19:06","7:05:42","Harry and Andy sitting in a police car before arresting Jacques Renault."
"id052","2","1","S02E01","May the Giant Be with You","0:21:26","0:23:22","id031","Maddy Ferguson","","Palmer residency","1:30:05","8:21:16","7:12:37","7:14:33","Maddy tells Sarah about her dream, Leland appers with with white hair, singing. Maddy sees Bob's face appear on the rug."
"id053","2","1","S02E01","May the Giant Be with You","0:21:26","0:22:58","id031","Sarah Palmer","","Palmer residency","1:30:05","8:21:16","7:12:37","7:14:09","Maddy tells Sarah about her dream, Leland appers with with white hair, singing. Maddy sees Bob's face appear on the rug."
"id054","2","1","S02E01","May the Giant Be with You","0:31:08","0:31:28","id032","Log Lady","","RR","1:30:05","8:21:16","7:22:19","7:22:39","Log Lady drinking a coffee at the RR."
"id055","2","1","S02E01","May the Giant Be with You","0:51:51","0:54:13","id033","Sheriff Harry Truman","","Hospital","1:30:05","8:21:16","7:43:02","7:45:24","Ed, Cooper, Harry, and Albert speaking about Nadine's suicide attempt at the hospital."
"id056","2","1","S02E01","May the Giant Be with You","0:51:51","0:52:09","id033","FBI Special Agent Albert Rosenfield","","Hospital","1:30:05","8:21:16","7:43:02","7:43:20","Ed, Cooper, Harry, and Albert speaking about Nadine's suicide attempt at the hospital."
"id057","2","1","S02E01","May the Giant Be with You","0:57:01","1:01:20","id034","Major Garland Briggs","","RR","1:30:05","8:21:16","7:48:12","7:52:31","Garland tells Bobby his vision about his future."
"id058","2","1","S02E01","May the Giant Be with You","1:02:31","1:05:44","id035","FBI Special Agent Dale Cooper","","Twin Peaks Police Station","1:30:05","8:21:16","7:53:42","7:56:55","Debrief at the police station."
"id059","2","1","S02E01","May the Giant Be with You","1:02:31","1:05:44","id035","FBI Special Agent Albert Rosenfield","","Twin Peaks Police Station","1:30:05","8:21:16","7:53:42","7:56:55","Debrief at the police station."
"id060","2","1","S02E01","May the Giant Be with You","1:02:43","1:05:44","id035","Sheriff Harry Truman","","Twin Peaks Police Station","1:30:05","8:21:16","7:53:54","7:56:55","Debrief at the police station."
"id061","2","1","S02E01","May the Giant Be with You","1:09:55","1:10:33","id036","Benjamin Horne","","Great Northern","1:30:05","8:21:16","8:01:06","8:01:44","Ben walking and talking with Jerry at the hall."
"id062","2","1","S02E01","May the Giant Be with You","1:15:46","1:18:50","id037","Donna Hayward","","Hayward residency","1:30:05","8:21:16","8:06:57","8:10:01","Gerstein performing at the ""Hayward Supper Club""."
"id063","2","2","S02E02","Coma","0:01:49","0:05:03","id038","FBI Special Agent Dale Cooper","","Great Northern","0:44:55","9:06:11","8:23:05","8:26:19","Cooper tells Albert about the Happy Generation of Tibet at breakfast. Albert lets Cooper know, that his former partner, Windom Earl escaped from prison."
"id064","2","2","S02E02","Coma","0:01:49","0:05:20","id038","FBI Special Agent Albert Rosenfield","","Great Northern","0:44:55","9:06:11","8:23:05","8:26:36","Cooper tells Albert about the Happy Generation of Tibet at breakfast. Albert lets Cooper know, that his former partner, Windom Earl escaped from prison."
"id065","2","2","S02E02","Coma","0:05:13","0:05:24","id038","""Asian Man""","","Great Northern","0:44:55","9:06:11","8:26:29","8:26:40","The ""Asian Man"" spies on Cooper."
"id066","2","2","S02E02","Coma","0:16:32","0:18:30","id039","Major Garland Briggs","","RR","0:44:55","9:06:11","8:37:48","8:39:46","Garland and Margaret have a talk at the RR. The Log Lady tells Major Briggs her log has something to tell him: ""deliver the message""."
"id067","2","2","S02E02","Coma","0:16:44","0:18:30","id039","Log Lady","","RR","0:44:55","9:06:11","8:38:00","8:39:46","Garland and Margaret have a talk at the RR."
"id068","2","3","S02E03","The Man Behind the Glass","0:29:07","0:30:12","id040","FBI Special Agent Dale Cooper","","Twin Peaks Police Station","0:45:01","9:51:12","9:35:18","9:36:23","Garland and Margaret have a talk at the RR."
"id069","2","3","S02E03","The Man Behind the Glass","0:29:17","0:30:12","id040","Sheriff Harry Truman","","Twin Peaks Police Station","0:45:01","9:51:12","9:35:28","9:36:23","Harry and Cooper talk about Josie's involvement in the case at the police station."
"id070","2","4","S02E04","Laura's Secret Diary","0:31:28","0:31:40","id041","Lucy Moran","","Twin Peaks Police Station","0:44:59","10:36:11","10:22:40","10:22:52","Judge Sternwood arrives at the police station."
"id071","2","4","S02E04","Laura's Secret Diary","0:33:05","0:33:23","id041","Judge Sternwood","","Twin Peaks Police Station","0:44:59","10:36:11","10:24:17","10:24:35","Judge Sternwood arrives at the police station."
"id072","2","4","S02E04","Laura's Secret Diary","0:35:50","0:38:57","id042","Sheriff Harry Truman","","Twin Peaks Police Station","0:44:59","10:36:11","10:27:02","10:30:09","Judge Sternwood, Cooper, and Harry discuss his case with Leland Palmer."
"id073","2","4","S02E04","Laura's Secret Diary","0:35:50","0:38:57","id042","FBI Special Agent Dale Cooper","","Twin Peaks Police Station","0:44:59","10:36:11","10:27:02","10:30:09","Judge Sternwood, Cooper, and Harry discuss his case with Leland Palmer."
"id074","2","5","S02E05","The Orchid's Curse","0:03:51","0:04:31","id043","Sheriff Harry Truman","","Twin Peaks Police Station","0:45:03","11:21:14","10:40:02","10:40:42","Harry drinks coffee and eats donut at the police station."
"id075","2","6","S02E06","Demons","0:30:19","0:30:26","id044","Sheriff Harry Truman","","Twin Peaks Police Station","0:45:14","12:06:28","11:51:33","11:51:40","Harry drinking coffee in the background while FBI Agent Gordon Cole arrives at the police station."
"id076","2","7","S02E07","Lonely Souls","0:01:29","0:02:55","id045","Deputy Hawk","","Twin Peaks Police Station","0:45:17","12:51:45","12:07:57","12:09:23","FBI Agent Gordon Coie leaving the Twin Peaks police station to go to Oregon."
"id077","2","7","S02E07","Lonely Souls","0:01:29","0:02:55","id045","FBI Special Agent Gordon Cole","","Twin Peaks Police Station","0:45:17","12:51:45","12:07:57","12:09:23","FBI Agent Gordon Coie leaving the Twin Peaks police station to go to Oregon."
"id078","2","7","S02E07","Lonely Souls","0:01:29","0:02:55","id045","FBI Special Agent Dale Cooper","","Twin Peaks Police Station","0:45:17","12:51:45","12:07:57","12:09:23","FBI Agent Gordon Coie leaving the Twin Peaks police station to go to Oregon."
"id079","2","7","S02E07","Lonely Souls","0:01:29","0:02:55","id045","The One Armed Man (Mike)","","Twin Peaks Police Station","0:45:17","12:51:45","12:07:57","12:09:23","FBI Agent Gordon Coie leaving the Twin Peaks police station to go to Oregon."
"id080","2","7","S02E07","Lonely Souls","0:01:29","0:02:55","id045","Deputy Andy Brennan","","Twin Peaks Police Station","0:45:17","12:51:45","12:07:57","12:09:23","FBI Agent Gordon Coie leaving the Twin Peaks police station to go to Oregon."
"id081","2","7","S02E07","Lonely Souls","0:01:29","0:02:55","id045","Sheriff Harry Truman","","Twin Peaks Police Station","0:45:17","12:51:45","12:07:57","12:09:23","FBI Agent Gordon Coie leaving the Twin Peaks police station to go to Oregon."
"id082","2","7","S02E07","Lonely Souls","0:05:54","0:07:56","id046","Maddy Ferguson","","Palmer residency","0:45:17","12:51:45","12:12:22","12:14:24","Maddy tells Sarah and Leland she's going home to Missoula."
"id083","2","7","S02E07","Lonely Souls","0:05:59","0:07:56","id046","Leland Palmer","","Palmer residency","0:45:17","12:51:45","12:12:27","12:14:24","Maddy tells Sarah and Leland she's going home to Missoula."
"id084","2","7","S02E07","Lonely Souls","0:19:55","0:21:10","id047","Big Ed Hurley","","RR","0:45:17","12:51:45","12:26:23","12:27:38","Ed takes Nadine to the RR, who thinks she's in highschool after her suicide attempt."
"id085","2","7","S02E07","Lonely Souls","0:23:33","0:25:47","id048","FBI Special Agent Dale Cooper","","Twin Peaks Police Station","0:45:17","12:51:45","12:30:01","12:32:15","Cooper analyzing the remains of Laura Palmer's diary. Cooper suspects Laura's killer to be Benjamin Horne."
"id086","2","7","S02E07","Lonely Souls","0:25:20","0:25:47","id048","Sheriff Harry Truman","","Twin Peaks Police Station","0:45:17","12:51:45","12:31:48","12:32:15","Cooper analyzing the remains of Laura Palmer's diary. Cooper suspects Laura's killer to be Benjamin Horne."
"id087","2","8","S02E08","Drive with a Dead Girl","0:09:15","0:09:44","id049","Deputy Hawk","","Twin Peaks Police Station","0:45:11","13:36:56","13:01:00","13:01:29","Hawk talks to Lucy's sister at the police station."
"id088","2","8","S02E08","Drive with a Dead Girl","0:19:58","0:20:11","id050","Earnie Niles","","RR","0:45:11","13:36:56","13:11:43","13:11:56","Norma's mother and her new husband, Ernie are visiting the RR."
"id089","2","9","S02E09","Arbitrary Law","0:03:25","0:04:28","id051","Donna Hayward","","Unknown Café","0:44:35","14:21:31","13:40:21","13:41:24","James gives Donna an engagement ring at the café."
"id090","2","9","S02E09","Arbitrary Law","0:04:29","0:05:24","id052","Vivian Smythe","","RR","0:44:35","14:21:31","13:41:25","13:42:20","Vivan eating an omlette at the RR that she doesn't like."
"id091","2","9","S02E09","Arbitrary Law","0:41:32","0:43:25","id053","FBI Special Agent Dale Cooper","","Forest","0:44:35","14:21:31","14:18:28","14:20:21","Copper, Harry, and Albert meeting Major Garland Briggs in the forest pondering where is Bob now."
"id092","2","10","S02E10","Dispute Between Brothers","0:08:11","0:08:26","id054","Sheriff Harry Truman","","Palmer residency","0:45:15","15:06:46","14:29:42","14:29:57","Harry drinking a coffee at Leland's memorial."
"id093","2","10","S02E10","Dispute Between Brothers","0:09:35","0:09:42","id055","Big Ed Hurley","","Palmer residency","0:45:15","15:06:46","14:31:06","14:31:13","Big Ed drinking a coffee at Lelands memorial in the background before the Milford brothers start arguing."
"id094","2","10","S02E10","Dispute Between Brothers","0:16:22","0:19:37","id056","Sheriff Harry Truman","","Twin Peaks Police Station","0:45:15","15:06:46","14:37:53","14:41:08","Harry talking to Catherine Martell at the police station when Cathrine ""appears from the dead""."
"id095","2","11","S02E11","Masked Ball","0:15:13","0:18:22","id057","FBI Special Agent Dale Cooper","","Twin Peaks Police Station","0:45:20","15:52:06","15:21:59","15:25:08","Harry, Hawk, and Cooper talking about the White Lodge and the Black Lodge. Agent Denise Bryson appears on the scene."
"id096","2","11","S02E11","Masked Ball","0:15:13","0:18:22","id057","Sheriff Harry Truman","","Twin Peaks Police Station","0:45:20","15:52:06","15:21:59","15:25:08","Harry, Hawk, and Cooper talking about the White Lodge and the Black Lodge. Agent Denise Bryson appears on the scene."
"id097","2","11","S02E11","Masked Ball","0:23:50","0:24:03","id058","Unknown FBI Agent","","RR","0:45:20","15:52:06","15:30:36","15:30:49","One of the FBI Agents investigating Cooper's case trying out the famous cherry pie at the RR for the first time."
"id098","2","11","S02E11","Masked Ball","0:25:35","0:26:30","id059","Deputy Andy Brennan","","RR","0:45:20","15:52:06","15:32:21","15:33:16","Andy and Dick taking out little Nicky for a chocolate shake at the RR to convince Lucy they'd make great fathers for her baby."
"id099","2","11","S02E11","Masked Ball","0:25:35","0:26:30","id059","Dick Tremayne","","RR","0:45:20","15:52:06","15:32:21","15:33:16","Andy and Dick taking out little Nicky for a chocolate shake at the RR to convince Lucy they'd make great fathers for her baby."
"id100","2","12","S02E12","The Black Widow","0:04:30","0:05:13","id060","FBI Special Agent Dale Cooper","","Twin Peaks Police Station","0:44:22","16:36:28","15:56:36","15:57:19","Cooper checking available houses on the market with the real estate agent."
"id101","2","12","S02E12","The Black Widow","0:17:03","0:19:07","id061","Dick Tremayne","","Forest","0:44:22","16:36:28","16:09:09","16:11:13","Dick drinking coffee while fixing his car with little Nicky."
"id102","2","12","S02E12","The Black Widow","0:19:12","0:20:47","id062","Colonel Riley","","Twin Peaks Police Station","0:44:22","16:36:28","16:11:18","16:12:53","Cooper, Colonel Riley, and Harry discussing the disappearance of Major Garland Briggs."
"id103","2","12","S02E12","The Black Widow","0:19:12","0:20:47","id062","FBI Special Agent Dale Cooper","","Twin Peaks Police Station","0:44:22","16:36:28","16:11:18","16:12:53","Cooper, Colonel Riley, and Harry discussing the disappearance of Major Garland Briggs."
"id104","2","12","S02E12","The Black Widow","0:31:27","0:32:20","id063","Big Ed Hurley","","RR","0:44:22","16:36:28","16:23:33","16:24:26","Norma and Ed taking about their past dreams at the RR."
"id105","2","12","S02E12","The Black Widow","0:36:57","0:37:49","id064","Earnie Niles","","RR","0:44:22","16:36:28","16:29:03","16:29:55","Denise forces Earnie to cooperate with the FBI."
"id106","2","13","S02E13","Checkmate","0:05:37","0:06:20","id065","FBI Special Agent Dale Cooper","","Twin Peaks Police Station","0:44:48","17:21:16","16:42:05","16:42:48","Cooper walks into the office when Earnie is forced to call Jean Renault."
"id107","2","13","S02E13","Checkmate","0:07:54","0:08:38","id066","Big Ed Hurley","","RR","0:44:48","17:21:16","16:44:22","16:45:06","Ed slips a note to Norma that they need to talk."
"id108","2","13","S02E13","Checkmate","0:13:11","0:14:35","id067","Mike Nelson","","RR","0:44:48","17:21:16","16:49:39","16:51:03","Nadine kisses Mike at the RR."
"id109","2","14","S02E14","Double Play","0:10:20","0:11:31","id068","FBI Special Agent Dale Cooper","","Crime scene","0:44:06","18:05:22","17:31:36","17:32:47","Harry and Cooper investigating a crime scene."
"id110","2","14","S02E14","Double Play","0:10:20","0:11:31","id068","Sheriff Harry Truman","","Crime scene","0:44:06","18:05:22","17:31:36","17:32:47","Harry and Cooper investigating a crime scene."
"id111","2","14","S02E14","Double Play","0:14:35","0:15:54","id069","Dr. Will Hayward","","RR","0:44:06","18:05:22","17:35:51","17:37:10","Dr. Will Hayward and Ed talk about Nadine's condition at the RR."
"id112","2","14","S02E14","Double Play","0:14:35","0:16:45","id069","Big Ed Hurley","","RR","0:44:06","18:05:22","17:35:51","17:38:01","Dr. Will Hayward and Ed talk about Nadine's condition at the RR."
"id113","2","14","S02E14","Double Play","0:18:04","0:21:11","id070","FBI Special Agent Dale Cooper","","Twin Peaks Police Station","0:44:06","18:05:22","17:39:20","17:42:27","Harry and Cooper contemplating over a chess board trying to figure out Windom Earl's next move. Cooper tells about the history between him and Windom Earl."
"id114","2","14","S02E14","Double Play","0:18:14","0:21:11","id070","Sheriff Harry Truman","","Twin Peaks Police Station","0:44:06","18:05:22","17:39:30","17:42:27","Harry and Cooper contemplating over a chess board trying to figure out Windom Earl's next move. Cooper tells about the history between him and Windom Earl."
"id115","2","14","S02E14","Double Play","0:21:42","0:23:07","id071","Donna Hayward","","Hide Out Willies","0:44:06","18:05:22","17:42:58","17:44:23","Donna looking for James to bring him money."
"id116","2","14","S02E14","Double Play","0:36:12","0:36:52","id072","FBI Special Agent Dale Cooper","","Twin Peaks Police Station","0:44:06","18:05:22","17:57:28","17:58:08","Harry asking a favor about Josie from Cooper at the police station."
"id117","2","15","S02E15","Slaves and Masters","0:15:45","0:17:26","id073","Sheriff Harry Truman","","Martell residency","0:44:42","18:50:04","18:21:07","18:22:48","Harry and Cooper telling Josie that the ""Asian Man"" was killed in Seattle."
"id118","2","15","S02E15","Slaves and Masters","0:15:52","0:17:50","id073","FBI Special Agent Dale Cooper","","Martell residency","0:44:42","18:50:04","18:21:14","18:23:12","Harry and Cooper telling Josie that the ""Asian Man"" was killed in Seattle."
"id119","2","15","S02E15","Slaves and Masters","0:19:30","0:19:38","id074","Thomas Eckhart","","Great Northern","0:44:42","18:50:04","18:24:52","18:25:00","Thomas Eckhart drinking a coffee at the hall of the Great Northern while on the phone with Josie."
"id120","2","15","S02E15","Slaves and Masters","0:26:40","0:27:23","id075","Sheriff Harry Truman","","RR","0:44:42","18:50:04","18:32:02","18:32:45","Turns out, that Pete Martell is a genius chess player who's willing to help the Windom Earl case."
"id121","2","15","S02E15","Slaves and Masters","0:26:40","0:27:23","id075","Sheriff Harry Truman","","RR","0:44:42","18:50:04","18:32:02","18:32:45","Turns out, that Pete Martell is a genius chess player who's willing to help the Windom Earl case."
"id122","2","16","S02E16","The Condemned Woman","0:02:00","0:03:00","id076","Sheriff Harry Truman","","Twin Peaks Police Station","0:45:12","19:35:16","18:52:04","18:53:04","Harry and Cooper listening to Windom Earl's message at the police station."
